max_depth,n_trees,n_leaves,early_stopping,col_sample,l,a,p,r,f
4,500,25,5,0.5,0.499054562957,0.785572982902,0.738317732995,0.950814456605,0.831188797869
4,500,25,5,0.75,0.499849473359,0.785043097358,0.737756197386,0.950941715449,0.830873280188
4,500,25,5,1,0.497958219767,0.787021336725,0.744700545627,0.938152201578,0.83025187246
4,500,25,10,0.5,0.498218043377,0.785961565635,0.73924953855,0.949350979893,0.831226037786
4,500,25,10,0.75,0.499793549422,0.785219725873,0.740026853146,0.945278696869,0.830133282928
4,500,25,10,1,0.501672667073,0.785149074467,0.741220585638,0.941969966913,0.829584980939
4,500,25,20,0.5,0.500207473341,0.787303942348,0.739425763571,0.95265970985,0.832599734793
4,500,25,20,0.75,0.498623698876,0.78649145118,0.739553551751,0.949987274116,0.831663629654
4,500,25,20,1,0.502921505538,0.781899109792,0.738932358937,0.938979384067,0.826983627222
4,500,50,5,0.5,0.499878994186,0.783276812209,0.738704188585,0.94330618478,0.828558684571
4,500,50,5,0.75,0.498503125037,0.786067542744,0.73922983643,0.949669127004,0.831335385448
4,500,50,5,1,0.499117790928,0.784548537516,0.740784315096,0.941460931535,0.829089098454
4,500,50,10,0.5,0.501300061825,0.784230606189,0.738376037932,0.946869432426,0.829723409829
4,500,50,10,0.75,0.500624704523,0.783983326268,0.7397034279,0.942606261135,0.828913073555
4,500,50,10,1,0.49737610382,0.788328387735,0.743751753429,0.944069737847,0.832005859295
4,500,50,20,0.5,0.499794375767,0.783700720644,0.737182868902,0.948587426826,0.829624964918
4,500,50,20,0.75,0.498584459293,0.785219725873,0.738294162433,0.949923644693,0.830832353953
4,500,50,20,1,0.499024535399,0.785467005793,0.739379515898,0.947632985492,0.830632189582
4,500,100,5,0.5,0.499664763182,0.785007771655,0.73869621683,0.94814202087,0.830415759003
4,500,100,5,0.75,0.494974467499,0.789352833121,0.741535126947,0.95265970985,0.833935946398
4,500,100,5,1,0.501375514718,0.783488766426,0.741244036445,0.937261389667,0.827779633868
4,500,100,10,0.5,0.500569599119,0.783842023456,0.737171912759,0.949032832782,0.829790644633
4,500,100,10,0.75,0.499062408356,0.785467005793,0.739480095696,0.947314838381,0.830585857669
4,500,100,10,1,0.498702586551,0.785643634308,0.74017811707,0.945978620514,0.830501800731
4,500,100,20,0.5,0.49844627319,0.786880033913,0.740951884308,0.947378467804,0.831537265693
4,500,100,20,0.75,0.496926109774,0.787409919457,0.741160157296,0.948269279715,0.832015841973
4,500,100,20,1,0.497556343049,0.787091988131,0.740705783651,0.948587426826,0.831853166354
4,1000,25,5,0.5,0.455980871301,0.8092412039,0.764795294595,0.947951132604,0.846575563501
4,1000,25,5,0.75,0.456717314803,0.808923272573,0.763794518754,0.949478238738,0.846570097841
4,1000,25,5,1,0.452715667894,0.812349865762,0.767833883911,0.94896920336,0.848836039289
4,1000,25,10,0.5,0.460594851261,0.804366256889,0.76024226204,0.946042249936,0.84301420721
4,1000,25,10,0.75,0.459834713016,0.805708633602,0.761736278992,0.945978620514,0.843909737609
4,1000,25,10,1,0.45451701122,0.810830860534,0.766948363751,0.947060320692,0.847538164192
4,1000,25,20,0.5,0.457732988492,0.808252084216,0.765117700172,0.944642402647,0.845449345459
4,1000,25,20,0.75,0.459263785915,0.805461353681,0.761519361237,0.945787732247,0.843706568101
4,1000,25,20,1,0.458728743454,0.806839056097,0.762828279479,0.946360397048,0.844723255743
4,1000,50,5,0.5,0.458583834495,0.804330931186,0.759761236715,0.947060320692,0.843124232702
4,1000,50,5,0.75,0.460612246389,0.80426027978,0.759646518232,0.947123950115,0.843082861845
4,1000,50,5,1,0.457442049492,0.807368941642,0.762742190634,0.947887503181,0.845294216685
