max_depth,n_trees,early_stopping,col_sample,l,a,p,r,f
4,500,5,0.5,0.178026152984,0.947188074043,0.981953216649,0.921799440061,0.950868704538
4,500,5,0.75,0.13930359744,0.953370072064,0.980202576097,0.934907101044,0.957012082725
4,500,10,0.5,0.13180632038,0.953334746361,0.982306691806,0.932743700687,0.956879875067
4,500,10,0.75,0.129627430081,0.95414723753,0.981378448611,0.935161618733,0.957707861604
4,500,20,0.5,0.141553091136,0.95450049456,0.980997350931,0.936179689488,0.95805791961
4,500,20,0.75,0.140431511398,0.951815741133,0.980383026593,0.931852888776,0.955500449079
4,1000,5,0.5,0.135597103649,0.957962413452,0.981967284421,0.941524560957,0.961216798661
4,1000,5,0.75,0.299650999996,0.832591493571,0.934073654784,0.719712395011,0.758945241034
4,1000,10,0.5,0.0989889376505,0.966405256465,0.984833830909,0.954186815984,0.969266680415
4,1000,10,0.75,0.217315979571,0.84301257595,0.934696565334,0.737210486129,0.769924191308
4,1000,20,0.5,0.101268776963,0.965698742405,0.982778231272,0.954950369051,0.968664146059
4,1000,20,0.75,0.246943609212,0.844884838208,0.934996660799,0.741728175108,0.771722130765
4,2000,5,0.5,0.191864410301,0.959552070086,0.983902084614,0.942606261135,0.962487446348
4,2000,5,0.75,0.080653798001,0.968595450049,0.982998193217,0.96004072283,0.971382023748
4,2000,10,0.5,0.196451582667,0.96220149781,0.984732233755,0.946614914737,0.965086689472
4,2000,10,0.75,0.159399931548,0.961000423908,0.981053084009,0.947951132604,0.96412313459
4,2000,20,0.5,0.0834956595715,0.96990250106,0.983482961557,0.961949605498,0.972592865858
4,2000,20,0.75,0.202092605398,0.850254345061,0.935046399719,0.749681852889,0.775918862201
5,500,5,0.5,0.224099887773,0.953158117847,0.98340514386,0.93140748282,0.956574455257
5,500,5,0.75,0.117770002875,0.958103716264,0.983043116325,0.94076100789,0.961431835296
5,500,10,0.5,0.136550370992,0.959870001413,0.984262184482,0.942797149402,0.963079968153
5,500,10,0.75,0.11927276836,0.955948848382,0.979392931042,0.940442860779,0.959521918822
