max_depth,n_trees,early_stopping,col_sample,l,a,p,r,f
5,500,5,0.25,0.139708924711,0.958209693373,0.989237924256,0.934907101044,0.961296086114
5,500,10,0.25,0.143600072026,0.957008619472,0.987624317817,0.934270806821,0.960204702914
5,500,20,0.25,0.133901237584,0.959198813056,0.989133337862,0.936815983711,0.96224662775
5,1000,5,0.25,0.0959386596187,0.966617210682,0.986429447896,0.952977856961,0.969410404595
5,1000,10,0.25,0.101643517918,0.968171541614,0.989170604699,0.953105115806,0.970800148728
5,1000,20,0.25,0.092888918318,0.967782958881,0.987745958991,0.95380503945,0.970475792149
5,2000,5,0.25,0.0757149325785,0.971527483397,0.988084952992,0.960295240519,0.973990775546
5,2000,10,0.25,0.0966048482528,0.968913381376,0.986231724441,0.957368287096,0.971583978563
5,2000,20,0.25,0.075522792668,0.970997597852,0.98813831016,0.959277169763,0.973493537282
6,500,5,0.25,0.376869448802,0.936625688851,0.993104295016,0.892275388139,0.939236146948
6,500,10,0.25,0.134722948734,0.959446092977,0.989456772502,0.936943242555,0.962463798864
6,500,20,0.25,0.136848965466,0.958916207433,0.988586493821,0.936815983711,0.96200367581
6,1000,5,0.25,0.14509203749,0.96054118977,0.989287478228,0.939106642912,0.963487985523
6,1000,10,0.25,0.19329653713,0.958810230324,0.990938046537,0.934398065666,0.961728315019
6,1000,20,0.25,0.0885371146993,0.967429701851,0.987423129379,0.953486892339,0.970149763082
6,2000,5,0.25,0.0751362486597,0.97120955207,0.98910282777,0.958704504963,0.973665056889
6,2000,10,0.25,0.146822542422,0.963119966087,0.988934243461,0.944260626114,0.965836988969
6,2000,20,0.25,0.0745507470294,0.970926946446,0.988779948071,0.958513616696,0.973409918625
7,500,5,0.25,0.149099379647,0.958068390561,0.990238330335,0.933698142021,0.961095890341
7,500,10,0.25,0.179027299522,0.959304790165,0.991560182108,0.934652583355,0.962258233992
7,500,20,0.25,0.132909764074,0.961318355235,0.989154647238,0.940633749046,0.964278161116
7,1000,5,0.25,0.118877222766,0.964391691395,0.992001921381,0.943497073047,0.967059786395
7,1000,10,0.25,0.130149201733,0.964709622721,0.990348549172,0.945660473403,0.967452951771
7,1000,20,0.25,0.0874843959419,0.966864490603,0.988438239873,0.951450750827,0.969586256592
7,2000,5,0.25,0.0763763829963,0.970432386604,0.989989879445,0.956413845762,0.972911528136
7,2000,10,0.25,0.0764770580809,0.970008478169,0.990824116998,0.954823110206,0.972485932334
7,2000,20,0.25,0.0753895032441,0.970467712307,0.988513017878,0.957940951896,0.97298429546
